DeathDate,Sterbedatum
Value,Wert
VehicleCode,KFZ-Kennzeichen
Victory,Sieg
VisitorsPerDay,Besucher pro Tag
VisitorsPerYear,Besucher pro Jahr
VisitorsTotal,Gesamtbesucher
VolcanicActivity,vulkanische Aktivität
VolcanicType,Vulkantyp
VonKlitzingConstant,von Klitzing elektromagnetisch Konstant (RK)
VotesAgainst,Stimmen gegen die Resolution
VotesFor,Anzahl der Stimmen für die Resolution
WaistSize,Taillenumfang (μ)
War,Kriege
Water,Wasser
WaterPercentage,Wasseranteil von einem Ort
Watercourse,Wasserlauf
WeddingParentsDate,Hochzeitstag der Eltern
WineYear,Weinjahr
WingArea,Flügelfläche (m2)
Wingspan,Spannweite (μ)
WinterTemperature,Wintertemperatur (K)
WorkArea,Arbeitsplätze (m2)
YearElevationIntoNobility,Jahr der Erhebung in den Adelsstand
YouthYears,Jugendjahre
ZipCode,Postleitzahl
آبادی_والی_جگہ/area,Fläche (km2)
آبادی_والی_جگہ/areaTotal,Fläche (km2)
آبادی_والی_جگہ/areaUrban,Stadtgebiet (km2)
آبادی_والی_جگہ/populationDensity,Bevölkerungsdichte (/sqkm)
انجن/acceleration,Beschleunigung (s)
انجن/diameter,Durchmesser (mm)
انجن/height,Höhe (mm)
انجن/length,Länge (mm)
انجن/powerOutput,Ausgangsleistung (kW)
انجن/topSpeed,Höchstgeschwindigkeit (kmh)
انجن/weight,Gewicht (kg)
انجن/width,Breite (mm)
تحریری_پروگراموں_کا_مجموعہ/fileSize,Dateigröße (MB)
جُغرافیائی_سیاسیات_تنظیم/populationDensity,Bevölkerungsdichte (/sqkm)
جھیل/areaOfCatchment,Einzugsgebiet (km2)
جھیل/shoreLength,Uferlänge (km)
جھیل/volume,Volumen (μ³)
حرکت_پذیر_پیدل_چلنے_کا_راستہ/diameter,Durchmesser (μ)
حرکت_پذیر_پیدل_چلنے_کا_راستہ/height,Höhe (mm)
حرکت_پذیر_پیدل_چلنے_کا_راستہ/length,Länge (mm)
حرکت_پذیر_پیدل_چلنے_کا_راستہ/mass,Masse (kg)
حرکت_پذیر_پیدل_چلنے_کا_راستہ/weight,Gewicht (kg)
حرکت_پذیر_پیدل_چلنے_کا_راستہ/width,Breite (mm)
حصول_کی_تاریخ,Anschaffungszeitpunkt
خلا_باز/timeInSpace,Gesamtzeit welche die Person im Weltraum verbracht hat (m)
خلائی_اڈہ/volume,Volumen (μ³)
خلائی_جہاز/distance,Entfernung (km)
خلائی_جہاز/timeInSpace,Gesamtzeit welche die Person im Weltraum verbracht hat (μ)
خلائی_مہم/distanceTraveled,Zurückgelegte Entfernung (km)
خلائی_مہم/lunarOrbitTime,Mondumlaufzeit (ω)
خلائی_مہم/mass,Masse (kg)
خلائی_مہم/missionDuration,Missionsdauer (μ)
رواں_زینہ/diameter,Durchmesser (μ)
رواں_زینہ/height,Höhe (mm)
رواں_زینہ/length,Länge (mm)
رواں_زینہ/mass,Masse (kg)
رواں_زینہ/weight,Gewicht (kg)
رواں_زینہ/width,Breite (mm)
سیارہ/apoapsis,Apoapsisdistanz (km)
سیارہ/averageSpeed,Durchschnittsgeschwindigkeit (km/s)
سیارہ/density,Dichte (μ3)
سیارہ/mass,Masse (kg)
سیارہ/maximumTemperature,Maximaltemperatur (K)
سیارہ/meanRadius,durchschnittlicher Radius (km)
سیارہ/meanTemperature,Durchschnittstemperatur (K)
سیارہ/minimumTemperature,geringste Temperatur (K)
سیارہ/orbitalPeriod,Umlaufzeit (μ)
سیارہ/periapsis,Periapsisdistanz (km)
سیارہ/surfaceArea,Oberfläche (km2)
سیارہ/temperature,Temperatur (K)
سیارہ/volume,Volumen (km3)
شخص/height,Höhe (cm)
شخص/weight,Gewicht (kg)
طَنابی_گاڑی,Drahtseilbahn
قمری_گڑھا/diameter,Durchmesser (km)
موٹر_کار_کی_دوڑ/distance,Entfernung (km)
ندی/watershed,Wasserscheide (km2)
نشے_کی_دوا/boilingPoint,Siedepunkt (K)
نشے_کی_دوا/meltingPoint,Schmelzpunkt (K)
نقل_و_حمل_کے_ذرائع/diameter,Durchmesser (μ)
نقل_و_حمل_کے_ذرائع/height,Höhe (mm)
نقل_و_حمل_کے_ذرائع/length,Länge (mm)
نقل_و_حمل_کے_ذرائع/mass,Masse (kg)
نقل_و_حمل_کے_ذرائع/weight,Gewicht (kg)
نقل_و_حمل_کے_ذرائع/width,Breite (mm)
نقل_و_حمل_کے_نظام/diameter,Durchmesser (μ)
نقل_و_حمل_کے_نظام/height,Höhe (mm)
نقل_و_حمل_کے_نظام/length,Länge (mm)
نقل_و_حمل_کے_نظام/mass,Masse (kg)
نقل_و_حمل_کے_نظام/weight,Gewicht (kg)
نقل_و_حمل_کے_نظام/width,Breite (mm)
پیسنے_کے_قابل,mahlenfähig
کام/runtime,Laufzeit (m)
کِسی_موقع_مقام_پر_نقل_و_حمل/diameter,Durchmesser (μ)
کِسی_موقع_مقام_پر_نقل_و_حمل/height,Höhe (mm)
کِسی_موقع_مقام_پر_نقل_و_حمل/length,Länge (mm)
کِسی_موقع_مقام_پر_نقل_و_حمل/mass,Masse (kg)
کِسی_موقع_مقام_پر_نقل_و_حمل/weight,Gewicht (kg)
کِسی_موقع_مقام_پر_نقل_و_حمل/width,Breite (mm)
کہکشاں/apoapsis,Apoapsisdistanz (km)
کہکشاں/averageSpeed,Durchschnittsgeschwindigkeit (km/s)
کہکشاں/density,Dichte (μ3)
کہکشاں/mass,Masse (kg)
کہکشاں/maximumTemperature,Maximaltemperatur (K)
کہکشاں/meanRadius,durchschnittlicher Radius (km)
کہکشاں/meanTemperature,Durchschnittstemperatur (K)
کہکشاں/minimumTemperature,geringste Temperatur (K)
کہکشاں/orbitalPeriod,Umlaufzeit (μ)
کہکشاں/periapsis,Periapsisdistanz (km)
کہکشاں/surfaceArea,Oberfläche (km2)
کہکشاں/temperature,Temperatur (K)
کہکشاں/volume,Volumen (km3)
کیمیائی_مادہ/boilingPoint,Siedepunkt (K)
کیمیائی_مادہ/density,Dichte (μ3)
کیمیائی_مادہ/meltingPoint,Schmelzpunkt (K)
کیمیائی_مادہ۔/boilingPoint,Siedepunkt (K)
کیمیائی_مادہ۔/density,Dichte (μ3)
کیمیائی_مادہ۔/meltingPoint,Schmelzpunkt (K)
گاڑی/fuelCapacity,Kraftstoffkapazität (l)
گاڑی/wheelbase,Radstand (mm)
ہتھیار/diameter,Durchmesser (mm)
ہتھیار/height,Höhe (mm)
ہتھیار/length,Länge (mm)
ہتھیار/weight,Gewicht (kg)
ہتھیار/width,Breite (mm)
NumberOfEntrances,Anzahl der Eingänge
WorstDefeat,höchste Niederlage
Acceleration,Beschleunigung (s)
BSide,B-Seite
Games,Spiele
FirstGame,erstes Spiel
StartYear,Startjahr
Abbreviation,Abkürzung
AbsoluteMagnitude,absolute Helligkeit
Address,Adresse
AgencyStationCode,Stationsabkürzung
AlternativeName,alternativer Name
Anniversary,Jubiläum
Apoapsis,Apoapsisdistanz (μ)
ApparentMagnitude,scheinbare Helligkeit
Area,Fläche (m2)
AreaCode,Vorwahl
AreaTotal,Fläche (m2)
Assets,Aktiva ($)
AutomobileModel,Automobilmodell
AverageSpeed,Durchschnittsgeschwindigkeit (kmh)
Background,Hintergrund
BedCount,Anzahl Betten
BicycleInformation,Fahrradinformationen
BirthName,Geburtsname
BirthYear,Geburtsjahr
BoilingPoint,Siedepunkt (K)
Budget,Etat ($)
Capacity,Kapazität
Casualties,Verluste
Classification,catégorie
ClosingYear,Schließungsjahr
ColourName,Farbenname
Combatant,Kombattant
CompletionDate,Fertigstellungstermin
Configuration,Konfiguration
Cost,Kosten ($)
Cuisine,Küche
CurrentStatus,aktueller Status
Date,Datum
DeathYear,Sterbejahr
Demonym,Volksbezeichnung
Density,Dichte (μ3)
Description,Beschreibung
DetectionMethod,Verfahren zur Entdeckung
Diameter,Durchmesser (μ)
Discovered,entdeckt
DiseasesDB,DiseasesDB
Distance,Entfernung (μ)
Duration,Dauer (s)
ElectionDateLeader,Wahldatum des Vorsitzenden
Elevation,Höhe (μ)
ElevatorCount,Aufzüge
End,Ende
EndDate,Enddatum
Equity,Gerechtigkeit ($)
FareZone,Tarifzone
Fate,Schicksal
FileSize,Dateigröße (B)
Filename,dateiname
FirstAirDate,Sendebeginn
FirstPublicationDate,Datum der Erstausgabe
FirstPublicationYear,Jahr der Erstausgabe
FormerName,früherer Name
FoundingDate,Gründungsdatum
FoundingYear,Gründungsjahr
Frequency,Frequenz (Hz)
FrequencyOfPublication,Erscheinungsweise
Height,Höhe (μ)
ImageSize,Bildgröße (px)
Introduced,eingeführt
IsHandicappedAccessible,ist rollstuhlgerecht
IsPartOfName,ist Teil
IsoCodeRegion,ISO-Ländercode
Issn,ISSN
LandingDate,Landedatum
LastPublicationDate,letztes Veröffentlichungsdatum
LaunchDate,Starttermin
LegislativePeriodName,Name in der Legislaturperiode
Length,Länge (μ)
Licensee,Lizenzinhaber
LoadLimit,Belastungsgrenze (g)
Mascot,Maskottchen
Mass,Masse (g)
MaximumTemperature,Maximaltemperatur (K)
MeanRadius,durchschnittlicher Radius (μ)
MeanTemperature,Durchschnittstemperatur (K)
Meaning,Bedeutung
Membership,Mitgliedschaft
MinimumTemperature,geringste Temperatur (K)
MissionDuration,Missionsdauer (s)
Motto,Motto
Name,Name
NetIncome,Nettoergebnis ($)
Notes,Anmerkungen
Number,Anzahl
NumberBuilt,Anzahl gebaut
NumberOfEmployees,Anzahl der Mitarbeiter
NumberOfEpisodes,Anzahl der Episoden
NumberOfGoals,Anzahl der erzielten Tore
NumberOfLines,Anzahl der Linien
NumberOfLocations,Anzahl der Standorte
NumberOfMembers,Anzahl der Mitglieder
NumberOfPages,Anzahl der Seiten
NumberOfParkingSpaces,Anzahl der Parkplätze
NumberOfRestaurants,Anzahl der Restaurants
NumberOfRooms,Anzahl der Zimmer
NumberOfSeasons,Anzahl der Staffeln
NumberOfSpans,Anzahl der Bögen
NumberOfStaff,Personalbestand
NumberOfTeams,Anzahl der Teams
NumberOfTracks,Anzahl der Gleise
NumberOfVisitors,Besucherzahl
Office,(politisches) Amt
OpeningDate,Eröffnungsdatum
OpeningYear,Eröffnungsjahr
OperatingIncome,Betriebsergebnis ($)
OrbitalPeriod,Umlaufzeit (s)
OriginalName,ursprünglicher Namen
Orpha,ORPHA
OtherServingLines,andere Verbindungen
ParkingInformation,Parkplatzinformationen
Participant,Teilnehmer
PassengersPerYear,Passagiere pro Jahr
Periapsis,Periapsisdistanz (μ)
PopulationDensity,Bevölkerungsdichte (/sqkm)
PopulationTotal,Einwohnerzahl
PostalCode,Postleitzahl
PowerOutput,Ausgangsleistung (W)
PublicationDate,Veröffentlichungsdatum
Purpose,Zweck
RailwayPlatforms,Bahnsteige
RecordDate,Stichtag
Reference,Referenz
Registry,Register
Restriction,Beschränkung
Result,Folge
Revenue,Einnahmen ($)
Role,Rolle
RouteEndDirection,Himmelsrichtung des Wegendes
RouteNumber,Routennummer
RouteStartDirection,Himmelsrichtung des Wegstarts
Runtime,Laufzeit (s)
RunwayLength,Start- und Landebahnlänge (μ)
Satcat,SATCAT
SeatingCapacity,Sitzplatzkapazität
ShipDisplacement,Deplacement (g)
Start,Start
StartDate,Startdatum
Status,Status
Strength,Stärke
Subtitle,Untertitel
SuccessfulLaunches,erfolgreiche Starts
Symbol,Symbol
Synonym,Synonym
TeamName,Teamname
Temperature,Temperatur (K)
Time,Zeit
Title,Titel
TopSpeed,Höchstgeschwindigkeit (kmh)
TotalPopulation,Gesamtbevölkerung
Transmission,Getriebe
VehiclesPerDay,Fahrzeuge pro Tag
VisitorsPercentageChange,prozentuale Veränderung der Besucherzahl
Volume,Volumen (μ³)
Weight,Gewicht (g)
Wheelbase,Radstand (μ)
Width,Breite (μ)
Year,Jahr
YearOfConstruction,Baujahr
YearOfElectrification,Jahr der Elektrifizierung
AcquirementDate,Anschaffungszeitpunkt
AgeRange,Altersgruppe
AnalogChannel,Analogkanal
AverageClassSize,durchschnittliche Klassengröße
BattingSide,Schlagarm
Bbr,BBR
BowlingSide,Werfarm
Classes,Klasse
Code,Code
Collection,Sammlung
CompressionRatio,Kompressionsverhältnis
DigitalChannel,Digitalkanal
Draft,Entwurf
EyeColor,Augenfarbe
HairColor,Haarfarbe
HumanDevelopmentIndex,Index für menschliche Entwicklung (HDI)
Interest,Interesse
LastAirDate,Sendeschluss
LatinName,lateinische Name
MilitaryCommand,Militärkommando
Note,Anmerkung
NumberOfDoctoralStudents,Anzahl der Doktoranden
NumberOfOffices,Anzahl Büros
NumberOfOrbits,Anzahl der Bahnen
NumberOfUndergraduateStudents,Zahl der Studenten
OverallRecord,Gesamtbilanz
PassengersUsedSystem,benutztes System der Passagiere
Production,Produktion
Pronunciation,Aussprache
Pseudonym,Pseudonym
RocketStages,Anzahl von Raketenstufen
Sex,Geschlecht
ShipDraft,Schiffsentwurf (μ)
Signature,Unterschrift
Slogan,Slogan
Staff,Personal
SurfaceArea,Oberfläche (m2)
TeamSize,Teamgröße
TournamentRecord,Turnierrekord
TrackLength,Streckenlänge (μ)
Tuition,Schulgeld ($)
UnitCost,Stückkosten ($)
Valvetrain,Ventilsteuerung
Years,Jahre
Established,etabliert
FeastDay,Festtag
GiniCoefficient,Gini-Koeffizient
RankingWins,Siege in Ranglistenturnieren
ReopeningDate,Wiedereröffnungdatum
AoCloassification,AO
ApproximateCalories,ungefähre Kalorien (J)
Wavelength,Wellenlänge (μ)
Championships,gewonnene Title
ColourHexCode,Farben Hex Code
Day,Tag
FastestLap,schnellste Runde
Fees,Gebühren ($)
FrequentlyUpdated,häufig aktualisiert
GradName,GARDName
GradNum,GARDNum
HallOfFame,Ruhmeshalle
Nord,NORD
PassengersPerDay,Passagiere pro Tag
Podiums,Podestplätze
Poles,Pole
Races,Rennen
StatisticValue,Statistikwert
UsSales,US-Verkäufe
FlyingHours,Flugstunden (s)
NumberOfDeaths,Totenzahl
ProductionStartDate,Produktionsbeginn
Model,Modell
Month,Monat
NeighbourConstellations,Nachbarsternbilder
ProjectStartDate,Projektstart
